Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
RDI,Reading International Inc,15.16,348532826.72,n/a,n/a,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/rdi,
RDIB,Reading International Inc,27.15,610402725.75,n/a,n/a,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/rdib,
RGSE,"Real Goods Solar, Inc.",0.4976,39260640,n/a,n/a,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/rgse,
BCNA,Reality Shares Nasdaq NexGen Economy China ETF,18.9715,1897168.9715,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bcna,
BLCN,Reality Shares Nasdaq NextGen Economy ETF,21.23,86512271.23,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/blcn,
RLM,Realm Therapeutics plc,2.58,4434927.12,1718964,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rlm,
RNWK,"RealNetworks, Inc.",2.22,83594204.34,n/a,1997,Technology,EDP Services,https://www.nasdaq.com/symbol/rnwk,
RP,"RealPage, Inc.",49.56,4654259639.4,n/a,2010,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rp,
RETA,"Reata Pharmaceuticals, Inc.",61.44,0,n/a,2016,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/reta,
RCON,"Recon Technology, Ltd.",1.1216,20727559.4384,n/a,2009,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/rcon,
REPH,"Recro Pharma, Inc.",6.84,146906086.32,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/reph,
RRGB,"Red Robin Gourmet Burgers, Inc.",34.19,443722162.13,n/a,2002,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/rrgb,
RRR,"Red Rock Resorts, Inc.",24.11,2809084091.71,n/a,2016,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/rrr,
RDVT,"Red Violet, Inc.",6.58,67554313.54,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/rdvt,
RDFN,Redfin Corporation,15.6,1396606723.2,n/a,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/rdfn,
RDHL,Redhill Biopharma Ltd.,9.35,187586590.95,20062737,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rdhl,
REG,Regency Centers Corporation,64.54,10935859352.04,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/reg,
REGN,"Regeneron Pharmaceuticals, Inc.",342.1,37027044344.4,n/a,1991,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/regn,
RGNX,REGENXBIO Inc.,62.7,2247190509.3,n/a,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/rgnx,
RGLS,Regulus Therapeutics Inc.,1.45,12687997.35,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/rgls,
RBNC,"Reliant Bancorp, Inc.",21.94,252904442.36,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/rbnc,
RELV,"Reliv&#39; International, Inc.",4.69,8653800.4,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/relv,
MARK,"Remark Holdings, Inc.",3.49,121409355.69,n/a,n/a,Consumer Services,Telecommunications Equipment,https://www.nasdaq.com/symbol/mark,
RNST,Renasant Corporation,35.77,2100226643.27,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/rnst,
REGI,"Renewable Energy Group, Inc.",25.18,939206546.72,n/a,2012,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/regi,
ABAC,"Renmin Tianli Group, Inc.",1.672,13432421.64,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/abac,
